"character","sport","sheet","panel","pose","image"
"male","gameplay-bowling","Bowling — third-person gameplay","2","Aim down lane","gameplay-bowling/male-01-rear-gameplay.png"
"male","gameplay-bowling","Bowling — third-person gameplay","3","Pushaway","gameplay-bowling/male-01-rear-gameplay.png"
"male","gameplay-bowling","Bowling — third-person gameplay","4","First approach step","gameplay-bowling/male-01-rear-gameplay.png"
"male","gameplay-bowling","Bowling — third-person gameplay","5","Ball swings down beside right thigh","gameplay-bowling/male-01-rear-gameplay.png"
"male","gameplay-bowling","Bowling — third-person gameplay","6","Backswing behind right hip","gameplay-bowling/male-01-rear-gameplay.png"
"male","gameplay-bowling","Bowling — third-person gameplay","7","Forward swing into slide","gameplay-bowling/male-01-rear-gameplay.png"
"male","gameplay-bowling","Bowling — third-person gameplay","8","Release near left planted ankle","gameplay-bowling/male-01-rear-gameplay.png"
"male","gameplay-bowling","Bowling — third-person gameplay","9","Right arm follows through","gameplay-bowling/male-01-rear-gameplay.png"
"male","gameplay-bowling","Bowling — third-person gameplay","10","Hold balanced finish watching ball","gameplay-bowling/male-01-rear-gameplay.png"
"male","gameplay-bowling","Bowling — third-person gameplay","11","Ball rolls toward pins","gameplay-bowling/male-01-rear-gameplay.png"
"male","gameplay-bowling","Bowling — third-person gameplay","12","Strike celebration, still facing pins","gameplay-bowling/male-01-rear-gameplay.png"
"female","gameplay-bowling","Bowling — third-person gameplay","1","Ready with ball cradled","gameplay-bowling/female-01-rear-gameplay.png"
"female","gameplay-bowling","Bowling — third-person gameplay","2","Aim down lane","gameplay-bowling/female-01-rear-gameplay.png"
"female","gameplay-bowling","Bowling — third-person gameplay","3","Pushaway","gameplay-bowling/female-01-rear-gameplay.png"
"female","gameplay-bowling","Bowling — third-person gameplay","4","First approach step","gameplay-bowling/female-01-rear-gameplay.png"
"female","gameplay-bowling","Bowling — third-person gameplay","5","Ball swings down beside right thigh","gameplay-bowling/female-01-rear-gameplay.png"
"female","gameplay-bowling","Bowling — third-person gameplay","6","Backswing behind right hip","gameplay-bowling/female-01-rear-gameplay.png"
"female","gameplay-bowling","Bowling — third-person gameplay","7","Forward swing into slide","gameplay-bowling/female-01-rear-gameplay.png"
"female","gameplay-bowling","Bowling — third-person gameplay","8","Release near left planted ankle","gameplay-bowling/female-01-rear-gameplay.png"
"female","gameplay-bowling","Bowling — third-person gameplay","9","Right arm follows through","gameplay-bowling/female-01-rear-gameplay.png"
"female","gameplay-bowling","Bowling — third-person gameplay","10","Hold balanced finish watching ball","gameplay-bowling/female-01-rear-gameplay.png"
"female","gameplay-bowling","Bowling — third-person gameplay","11","Ball rolls toward pins","gameplay-bowling/female-01-rear-gameplay.png"
"female","gameplay-bowling","Bowling — third-person gameplay","12","Strike celebration, still facing pins","gameplay-bowling/female-01-rear-gameplay.png"
"male","gameplay-tennis","Tennis — third-person gameplay","1","Baseline ready stance","gameplay-tennis/male-01-rear-gameplay-v2.png"
"male","gameplay-tennis","Tennis — third-person gameplay","2","Split step","gameplay-tennis/male-01-rear-gameplay-v2.png"
"male","gameplay-tennis","Tennis — third-person gameplay","3","Forehand preparation","gameplay-tennis/male-01-rear-gameplay-v2.png"
"male","gameplay-tennis","Tennis — third-person gameplay","4","Forehand ball contact","gameplay-tennis/male-01-rear-gameplay-v2.png"
"male","gameplay-tennis","Tennis — third-person gameplay","5","Forehand follow-through","gameplay-tennis/male-01-rear-gameplay-v2.png"
"male","gameplay-tennis","Tennis — third-person gameplay","6","Recover to baseline center","gameplay-tennis/male-01-rear-gameplay-v2.png"
"male","gameplay-tennis","Tennis — third-person gameplay","7","Two-hand backhand preparation","gameplay-tennis/male-01-rear-gameplay-v2.png"
"male","gameplay-tennis","Tennis — third-person gameplay","8","Backhand ball contact","gameplay-tennis/male-01-rear-gameplay-v2.png"
"male","gameplay-tennis","Tennis — third-person gameplay","9","Backhand follow-through","gameplay-tennis/male-01-rear-gameplay-v2.png"
"male","gameplay-tennis","Tennis — third-person gameplay","10","Serve trophy pose","gameplay-tennis/male-01-rear-gameplay-v2.png"
"male","gameplay-tennis","Tennis — third-person gameplay","11","Overhead serve contact","gameplay-tennis/male-01-rear-gameplay-v2.png"
"male","gameplay-tennis","Tennis — third-person gameplay","12","Serve landing and ready recovery","gameplay-tennis/male-01-rear-gameplay-v2.png"
"female","gameplay-tennis","Tennis — third-person gameplay","1","Baseline ready stance","gameplay-tennis/female-01-rear-gameplay-v2.png"
"female","gameplay-tennis","Tennis — third-person gameplay","2","Split step","gameplay-tennis/female-01-rear-gameplay-v2.png"
"female","gameplay-tennis","Tennis — third-person gameplay","3","Forehand preparation","gameplay-tennis/female-01-rear-gameplay-v2.png"
"female","gameplay-tennis","Tennis — third-person gameplay","4","Forehand ball contact","gameplay-tennis/female-01-rear-gameplay-v2.png"
"female","gameplay-tennis","Tennis — third-person gameplay","5","Forehand follow-through","gameplay-tennis/female-01-rear-gameplay-v2.png"
"female","gameplay-tennis","Tennis — third-person gameplay","6","Recover to baseline center","gameplay-tennis/female-01-rear-gameplay-v2.png"
"female","gameplay-tennis","Tennis — third-person gameplay","7","Two-hand backhand preparation","gameplay-tennis/female-01-rear-gameplay-v2.png"
"female","gameplay-tennis","Tennis — third-person gameplay","8","Backhand ball contact","gameplay-tennis/female-01-rear-gameplay-v2.png"
"female","gameplay-tennis","Tennis — third-person gameplay","9","Backhand follow-through","gameplay-tennis/female-01-rear-gameplay-v2.png"
"female","gameplay-tennis","Tennis — third-person gameplay","10","Serve trophy pose","gameplay-tennis/female-01-rear-gameplay-v2.png"
"female","gameplay-tennis","Tennis — third-person gameplay","11","Overhead serve contact","gameplay-tennis/female-01-rear-gameplay-v2.png"
"female","gameplay-tennis","Tennis — third-person gameplay","12","Serve landing and ready recovery","gameplay-tennis/female-01-rear-gameplay-v2.png"
"male","gameplay-boxing","Boxing — third-person gameplay","1","Orthodox guard facing opponent","gameplay-boxing/male-01-rear-gameplay-v2.png"
"male","gameplay-boxing","Boxing — third-person gameplay","2","Left jab toward opponent","gameplay-boxing/male-01-rear-gameplay-v2.png"
"male","gameplay-boxing","Boxing — third-person gameplay","3","Return left glove to guard","gameplay-boxing/male-01-rear-gameplay-v2.png"
"male","gameplay-boxing","Boxing — third-person gameplay","4","Right cross with rear hip rotation","gameplay-boxing/male-01-rear-gameplay-v2.png"
"male","gameplay-boxing","Boxing — third-person gameplay","5","Recover high guard","gameplay-boxing/male-01-rear-gameplay-v2.png"
"male","gameplay-boxing","Boxing — third-person gameplay","6","Left hook with torso turn","gameplay-boxing/male-01-rear-gameplay-v2.png"
"male","gameplay-boxing","Boxing — third-person gameplay","7","Right uppercut","gameplay-boxing/male-01-rear-gameplay-v2.png"
"male","gameplay-boxing","Boxing — third-person gameplay","8","Block opponent jab with high guard","gameplay-boxing/male-01-rear-gameplay-v2.png"
"male","gameplay-boxing","Boxing — third-person gameplay","9","Slip left off opponent centerline","gameplay-boxing/male-01-rear-gameplay-v2.png"
"male","gameplay-boxing","Boxing — third-person gameplay","10","Duck under opponent hook","gameplay-boxing/male-01-rear-gameplay-v2.png"
"male","gameplay-boxing","Boxing — third-person gameplay","11","Small forward step, guard maintained","gameplay-boxing/male-01-rear-gameplay-v2.png"
"male","gameplay-boxing","Boxing — third-person gameplay","12","Return to balanced neutral guard","gameplay-boxing/male-01-rear-gameplay-v2.png"
"female","gameplay-boxing","Boxing — third-person gameplay","1","Orthodox guard facing opponent","gameplay-boxing/female-01-rear-gameplay-v2.png"
"female","gameplay-boxing","Boxing — third-person gameplay","2","Left jab toward opponent","gameplay-boxing/female-01-rear-gameplay-v2.png"
"female","gameplay-boxing","Boxing — third-person gameplay","3","Return left glove to guard","gameplay-boxing/female-01-rear-gameplay-v2.png"
"female","gameplay-boxing","Boxing — third-person gameplay","4","Right cross with rear hip rotation","gameplay-boxing/female-01-rear-gameplay-v2.png"
"female","gameplay-boxing","Boxing — third-person gameplay","5","Recover high guard","gameplay-boxing/female-01-rear-gameplay-v2.png"
"female","gameplay-boxing","Boxing — third-person gameplay","6","Left hook with torso turn","gameplay-boxing/female-01-rear-gameplay-v2.png"
"female","gameplay-boxing","Boxing — third-person gameplay","7","Right uppercut","gameplay-boxing/female-01-rear-gameplay-v2.png"
"female","gameplay-boxing","Boxing — third-person gameplay","8","Block opponent jab with high guard","gameplay-boxing/female-01-rear-gameplay-v2.png"
"female","gameplay-boxing","Boxing — third-person gameplay","9","Slip left off opponent centerline","gameplay-boxing/female-01-rear-gameplay-v2.png"
"female","gameplay-boxing","Boxing — third-person gameplay","10","Duck under opponent hook","gameplay-boxing/female-01-rear-gameplay-v2.png"
"female","gameplay-boxing","Boxing — third-person gameplay","11","Small forward step, guard maintained","gameplay-boxing/female-01-rear-gameplay-v2.png"
"female","gameplay-boxing","Boxing — third-person gameplay","12","Return to balanced neutral guard","gameplay-boxing/female-01-rear-gameplay-v2.png"
"male","golf","Golf — full swing","1","Address: two hands on iron, clubface grounded behind ball","golf/male-01-full-swing.png"
"male","golf","Golf — full swing","2","Takeaway: shoulders turn, club waist-high","golf/male-01-full-swing.png"
"male","golf","Golf — full swing","3","Backswing: lead arm extended, wrists hinge","golf/male-01-full-swing.png"
"male","golf","Golf — full swing","4","Top: club above trailing shoulder, balanced knees","golf/male-01-full-swing.png"
"male","golf","Golf — full swing","5","Transition: hips begin rotation, club shallows","golf/male-01-full-swing.png"
"male","golf","Golf — full swing","6","Downswing: hands approach trail thigh","golf/male-01-full-swing.png"
"male","golf","Golf — full swing","7","Impact: hands ahead, clubface meets ground-level ball","golf/male-01-full-swing.png"
"male","golf","Golf — full swing","8","Extension: arms and club extend toward target","golf/male-01-full-swing.png"
"male","golf","Golf — full swing","9","Follow-through: torso rotates, trail heel rises","golf/male-01-full-swing.png"
"male","golf","Golf — full swing","10","Finish: balanced lead leg, club over lead shoulder","golf/male-01-full-swing.png"
"male","golf","Golf — full swing","11","Hold: head follows imaginary ball flight","golf/male-01-full-swing.png"
"male","golf","Golf — full swing","12","Recovery: club lowers, return to relaxed stance","golf/male-01-full-swing.png"
"female","golf","Golf — full swing","1","Address: two hands on iron, clubface grounded behind ball","golf/female-01-full-swing.png"
"female","golf","Golf — full swing","2","Takeaway: shoulders turn, club waist-high","golf/female-01-full-swing.png"
"female","golf","Golf — full swing","3","Backswing: lead arm extended, wrists hinge","golf/female-01-full-swing.png"
"female","golf","Golf — full swing","4","Top: club above trailing shoulder, balanced knees","golf/female-01-full-swing.png"
"female","golf","Golf — full swing","5","Transition: hips begin rotation, club shallows","golf/female-01-full-swing.png"
"female","golf","Golf — full swing","6","Downswing: hands approach trail thigh","golf/female-01-full-swing.png"
"female","golf","Golf — full swing","7","Impact: hands ahead, clubface meets ground-level ball","golf/female-01-full-swing.png"
"female","golf","Golf — full swing","8","Extension: arms and club extend toward target","golf/female-01-full-swing.png"
"female","golf","Golf — full swing","9","Follow-through: torso rotates, trail heel rises","golf/female-01-full-swing.png"
"female","golf","Golf — full swing","10","Finish: balanced lead leg, club over lead shoulder","golf/female-01-full-swing.png"
"female","golf","Golf — full swing","11","Hold: head follows imaginary ball flight","golf/female-01-full-swing.png"
"female","golf","Golf — full swing","12","Recovery: club lowers, return to relaxed stance","golf/female-01-full-swing.png"
"male","golf","Golf — short game","1","Putt setup: narrow stance, eyes toward ball","golf/male-02-short-game.png"
"male","golf","Golf — short game","2","Putt backswing: short pendulum, quiet lower body","golf/male-02-short-game.png"
"male","golf","Golf — short game","3","Putt impact: square putter face meets ball","golf/male-02-short-game.png"
"male","golf","Golf — short game","4","Putt follow-through: hold low finish","golf/male-02-short-game.png"
"male","golf","Golf — short game","5","Chip setup: hands ahead, weight on lead foot","golf/male-02-short-game.png"
"male","golf","Golf — short game","6","Chip backswing: compact low arc","golf/male-02-short-game.png"
"male","golf","Golf — short game","7","Chip impact: descending iron strikes ball","golf/male-02-short-game.png"
"male","golf","Golf — short game","8","Chip finish: low controlled follow-through","golf/male-02-short-game.png"
"male","golf","Golf — short game","9","Bunker setup: wider stance, open wedge","golf/male-02-short-game.png"
"male","golf","Golf — short game","10","Bunker backswing: wrist hinge, flexed knees","golf/male-02-short-game.png"
"male","golf","Golf — short game","11","Bunker strike: wedge enters sand behind ball","golf/male-02-short-game.png"
"male","golf","Golf — short game","12","Bunker finish: open chest, high soft finish","golf/male-02-short-game.png"
"female","golf","Golf — short game","1","Putt setup: narrow stance, eyes toward ball","golf/female-02-short-game-v2.png"
"female","golf","Golf — short game","2","Putt backswing: short pendulum, quiet lower body","golf/female-02-short-game-v2.png"
"female","golf","Golf — short game","3","Putt impact: square putter face meets ball","golf/female-02-short-game-v2.png"
"female","golf","Golf — short game","4","Putt follow-through: hold low finish","golf/female-02-short-game-v2.png"
"female","golf","Golf — short game","5","Chip setup: hands ahead, weight on lead foot","golf/female-02-short-game-v2.png"
"female","golf","Golf — short game","6","Chip backswing: compact low arc","golf/female-02-short-game-v2.png"
"female","golf","Golf — short game","7","Chip impact: descending iron strikes ball","golf/female-02-short-game-v2.png"
"female","golf","Golf — short game","8","Chip finish: low controlled follow-through","golf/female-02-short-game-v2.png"
"female","golf","Golf — short game","9","Bunker setup: wider stance, open wedge","golf/female-02-short-game-v2.png"
"female","golf","Golf — short game","10","Bunker backswing: wrist hinge, flexed knees","golf/female-02-short-game-v2.png"
"female","golf","Golf — short game","11","Bunker strike: wedge enters sand behind ball","golf/female-02-short-game-v2.png"
"female","golf","Golf — short game","12","Bunker finish: open chest, high soft finish","golf/female-02-short-game-v2.png"
"male","golf","Golf — variants and contact","1","Driver tee address with broad stance","golf/male-03-variants-and-contact.png"
"male","golf","Golf — variants and contact","2","Driver top of backswing with long club","golf/male-03-variants-and-contact.png"
"male","golf","Golf — variants and contact","3","Driver impact with teed ball, upward arc","golf/male-03-variants-and-contact.png"
"male","golf","Golf — variants and contact","4","Driver balanced high finish","golf/male-03-variants-and-contact.png"
"male","golf","Golf — variants and contact","5","Pitch setup with wedge","golf/male-03-variants-and-contact.png"
"male","golf","Golf — variants and contact","6","Pitch half backswing","golf/male-03-variants-and-contact.png"
"male","golf","Golf — variants and contact","7","Pitch impact with wedge","golf/male-03-variants-and-contact.png"
"male","golf","Golf — variants and contact","8","Pitch chest-high finish","golf/male-03-variants-and-contact.png"
"male","golf","Golf — variants and contact","9","Front close-up: two mitten hands securely around one grip","golf/male-03-variants-and-contact.png"
"male","golf","Golf — variants and contact","10","Side close-up: iron face and ball at impact","golf/male-03-variants-and-contact.png"
"male","golf","Golf — variants and contact","11","Crouched reading green, putter held vertically","golf/male-03-variants-and-contact.png"
"male","golf","Golf — variants and contact","12","Bend and retrieve ball from cup","golf/male-03-variants-and-contact.png"
"female","golf","Golf — variants and contact","1","Driver tee address with broad stance","golf/female-03-variants-and-contact.png"
"female","golf","Golf — variants and contact","2","Driver top of backswing with long club","golf/female-03-variants-and-contact.png"
"female","golf","Golf — variants and contact","3","Driver impact with teed ball, upward arc","golf/female-03-variants-and-contact.png"
"female","golf","Golf — variants and contact","4","Driver balanced high finish","golf/female-03-variants-and-contact.png"
"female","golf","Golf — variants and contact","5","Pitch setup with wedge","golf/female-03-variants-and-contact.png"
"female","golf","Golf — variants and contact","6","Pitch half backswing","golf/female-03-variants-and-contact.png"
"female","golf","Golf — variants and contact","7","Pitch impact with wedge","golf/female-03-variants-and-contact.png"
"female","golf","Golf — variants and contact","8","Pitch chest-high finish","golf/female-03-variants-and-contact.png"
"female","golf","Golf — variants and contact","9","Front close-up: two mitten hands securely around one grip","golf/female-03-variants-and-contact.png"
"female","golf","Golf — variants and contact","10","Side close-up: iron face and ball at impact","golf/female-03-variants-and-contact.png"
"female","golf","Golf — variants and contact","11","Crouched reading green, putter held vertically","golf/female-03-variants-and-contact.png"
"female","golf","Golf — variants and contact","12","Bend and retrieve ball from cup","golf/female-03-variants-and-contact.png"
"male","bowling","Bowling — delivery sequence","1","Set stance: ball cradled near chest in both hands","bowling/male-01-delivery.png"
"male","bowling","Bowling — delivery sequence","2","Aim: eyes/head aligned down lane","bowling/male-01-delivery.png"
"male","bowling","Bowling — delivery sequence","3","Pushaway: right ball hand forward, left hand supporting","bowling/male-01-delivery.png"
"male","bowling","Bowling — delivery sequence","4","First step: right foot steps, ball lowers","bowling/male-01-delivery.png"
"male","bowling","Bowling — delivery sequence","5","Pendulum: ball swings beside right thigh","bowling/male-01-delivery.png"
"male","bowling","Bowling — delivery sequence","6","Backswing: ball behind body, left arm counterbalances","bowling/male-01-delivery.png"
"male","bowling","Bowling — delivery sequence","7","Forward swing: knee flexion, ball descends","bowling/male-01-delivery.png"
"male","bowling","Bowling — delivery sequence","8","Slide: planted left foot, right leg sweeps behind left","bowling/male-01-delivery.png"
"male","bowling","Bowling — delivery sequence","9","Release: right hand close to floor, ball just leaving fingers","bowling/male-01-delivery.png"
"male","bowling","Bowling — delivery sequence","10","Follow-through: right arm rises, left knee bent","bowling/male-01-delivery.png"
"male","bowling","Bowling — delivery sequence","11","Hold: balanced slide finish, watch ball roll","bowling/male-01-delivery.png"
"male","bowling","Bowling — delivery sequence","12","Recover: step upright and turn away","bowling/male-01-delivery.png"
"female","bowling","Bowling — delivery sequence","1","Set stance: ball cradled near chest in both hands","bowling/female-01-delivery.png"
"female","bowling","Bowling — delivery sequence","2","Aim: eyes/head aligned down lane","bowling/female-01-delivery.png"
"female","bowling","Bowling — delivery sequence","3","Pushaway: right ball hand forward, left hand supporting","bowling/female-01-delivery.png"
"female","bowling","Bowling — delivery sequence","4","First step: right foot steps, ball lowers","bowling/female-01-delivery.png"
"female","bowling","Bowling — delivery sequence","5","Pendulum: ball swings beside right thigh","bowling/female-01-delivery.png"
"female","bowling","Bowling — delivery sequence","6","Backswing: ball behind body, left arm counterbalances","bowling/female-01-delivery.png"
"female","bowling","Bowling — delivery sequence","7","Forward swing: knee flexion, ball descends","bowling/female-01-delivery.png"
"female","bowling","Bowling — delivery sequence","8","Slide: planted left foot, right leg sweeps behind left","bowling/female-01-delivery.png"
"female","bowling","Bowling — delivery sequence","9","Release: right hand close to floor, ball just leaving fingers","bowling/female-01-delivery.png"
"female","bowling","Bowling — delivery sequence","10","Follow-through: right arm rises, left knee bent","bowling/female-01-delivery.png"
"female","bowling","Bowling — delivery sequence","11","Hold: balanced slide finish, watch ball roll","bowling/female-01-delivery.png"
"female","bowling","Bowling — delivery sequence","12","Recover: step upright and turn away","bowling/female-01-delivery.png"
"male","bowling","Bowling — delivery variants","1","Straight delivery release: right palm facing target","bowling/male-02-variants-and-contact.png"
"male","bowling","Bowling — delivery variants","2","Hook setup: supported ball, relaxed wrist","bowling/male-02-variants-and-contact.png"
"male","bowling","Bowling — delivery variants","3","Hook backswing: wrist stays stable","bowling/male-02-variants-and-contact.png"
"male","bowling","Bowling — delivery variants","4","Hook release: gentle hand rotation beside ankle","bowling/male-02-variants-and-contact.png"
"male","bowling","Bowling — delivery variants","5","Hook finish: balanced arm extension","bowling/male-02-variants-and-contact.png"
"male","bowling","Bowling — delivery variants","6","Two-hand setup: both hands cradle ball","bowling/male-02-variants-and-contact.png"
"male","bowling","Bowling — delivery variants","7","Two-hand approach: ball swings close to right hip","bowling/male-02-variants-and-contact.png"
"male","bowling","Bowling — delivery variants","8","Two-hand release: support hand clears, right delivers","bowling/male-02-variants-and-contact.png"
"male","bowling","Bowling — delivery variants","9","Left-handed setup with ball at left hip","bowling/male-02-variants-and-contact.png"
"male","bowling","Bowling — delivery variants","10","Left-handed slide and release over right planted leg","bowling/male-02-variants-and-contact.png"
"male","bowling","Bowling — delivery variants","11","Close-up: rounded hand holds ball at three finger holes","bowling/male-02-variants-and-contact.png"
"male","bowling","Bowling — delivery variants","12","Side detail: released ball clears foot and rolls on lane","bowling/male-02-variants-and-contact.png"
"female","bowling","Bowling — delivery variants","1","Straight delivery release: right palm facing target","bowling/female-02-variants-and-contact.png"
"female","bowling","Bowling — delivery variants","2","Hook setup: supported ball, relaxed wrist","bowling/female-02-variants-and-contact.png"
"female","bowling","Bowling — delivery variants","3","Hook backswing: wrist stays stable","bowling/female-02-variants-and-contact.png"
"female","bowling","Bowling — delivery variants","4","Hook release: gentle hand rotation beside ankle","bowling/female-02-variants-and-contact.png"
"female","bowling","Bowling — delivery variants","5","Hook finish: balanced arm extension","bowling/female-02-variants-and-contact.png"
"female","bowling","Bowling — delivery variants","6","Two-hand setup: both hands cradle ball","bowling/female-02-variants-and-contact.png"
"female","bowling","Bowling — delivery variants","7","Two-hand approach: ball swings close to right hip","bowling/female-02-variants-and-contact.png"
"female","bowling","Bowling — delivery variants","8","Two-hand release: support hand clears, right delivers","bowling/female-02-variants-and-contact.png"
"female","bowling","Bowling — delivery variants","9","Left-handed setup with ball at left hip","bowling/female-02-variants-and-contact.png"
"female","bowling","Bowling — delivery variants","10","Left-handed slide and release over right planted leg","bowling/female-02-variants-and-contact.png"
"female","bowling","Bowling — delivery variants","11","Close-up: rounded hand holds ball at three finger holes","bowling/female-02-variants-and-contact.png"
"female","bowling","Bowling — delivery variants","12","Side detail: released ball clears foot and rolls on lane","bowling/female-02-variants-and-contact.png"
"male","bowling","Bowling — gameplay and reactions","1","Reach for ball at ball return","bowling/male-03-gameplay-and-reactions.png"
"male","bowling","Bowling — gameplay and reactions","2","Lift bowling ball with both hands","bowling/male-03-gameplay-and-reactions.png"
"male","bowling","Bowling — gameplay and reactions","3","Carry ball securely toward approach","bowling/male-03-gameplay-and-reactions.png"
"male","bowling","Bowling — gameplay and reactions","4","Aim diagonally for a spare","bowling/male-03-gameplay-and-reactions.png"
"male","bowling","Bowling — gameplay and reactions","5","Watch rolling ball, lean slightly right","bowling/male-03-gameplay-and-reactions.png"
"male","bowling","Bowling — gameplay and reactions","6","Watch rolling ball, lean slightly left","bowling/male-03-gameplay-and-reactions.png"
"male","bowling","Bowling — gameplay and reactions","7","Strike: compact right fist pump","bowling/male-03-gameplay-and-reactions.png"
"male","bowling","Bowling — gameplay and reactions","8","Spare: pleased small two-arm lift","bowling/male-03-gameplay-and-reactions.png"
"male","bowling","Bowling — gameplay and reactions","9","Gutter: shoulders drop, head tilts down","bowling/male-03-gameplay-and-reactions.png"
"male","bowling","Bowling — gameplay and reactions","10","Miss: hands open in mild disbelief","bowling/male-03-gameplay-and-reactions.png"
"male","bowling","Bowling — gameplay and reactions","11","Celebrate: short jump with both arms up","bowling/male-03-gameplay-and-reactions.png"
"male","bowling","Bowling — gameplay and reactions","12","Turn and walk back toward seating","bowling/male-03-gameplay-and-reactions.png"
"female","bowling","Bowling — gameplay and reactions","1","Reach for ball at ball return","bowling/female-03-gameplay-and-reactions.png"
"female","bowling","Bowling — gameplay and reactions","2","Lift bowling ball with both hands","bowling/female-03-gameplay-and-reactions.png"
"female","bowling","Bowling — gameplay and reactions","3","Carry ball securely toward approach","bowling/female-03-gameplay-and-reactions.png"
"female","bowling","Bowling — gameplay and reactions","4","Aim diagonally for a spare","bowling/female-03-gameplay-and-reactions.png"
"female","bowling","Bowling — gameplay and reactions","5","Watch rolling ball, lean slightly right","bowling/female-03-gameplay-and-reactions.png"
"female","bowling","Bowling — gameplay and reactions","6","Watch rolling ball, lean slightly left","bowling/female-03-gameplay-and-reactions.png"
"female","bowling","Bowling — gameplay and reactions","7","Strike: compact right fist pump","bowling/female-03-gameplay-and-reactions.png"
"female","bowling","Bowling — gameplay and reactions","8","Spare: pleased small two-arm lift","bowling/female-03-gameplay-and-reactions.png"
"female","bowling","Bowling — gameplay and reactions","9","Gutter: shoulders drop, head tilts down","bowling/female-03-gameplay-and-reactions.png"
"female","bowling","Bowling — gameplay and reactions","10","Miss: hands open in mild disbelief","bowling/female-03-gameplay-and-reactions.png"
"female","bowling","Bowling — gameplay and reactions","11","Celebrate: short jump with both arms up","bowling/female-03-gameplay-and-reactions.png"
"female","bowling","Bowling — gameplay and reactions","12","Turn and walk back toward seating","bowling/female-03-gameplay-and-reactions.png"
"male","tennis","Tennis — groundstrokes","1","Forehand ready: racket in right hand, athletic stance","tennis/male-01-groundstrokes.png"
"male","tennis","Tennis — groundstrokes","2","Forehand unit turn: shoulders coil","tennis/male-01-groundstrokes.png"
"male","tennis","Tennis — groundstrokes","3","Forehand backswing: racket drops behind hip","tennis/male-01-groundstrokes.png"
"male","tennis","Tennis — groundstrokes","4","Forehand contact: ball ahead of right hip","tennis/male-01-groundstrokes.png"
"male","tennis","Tennis — groundstrokes","5","Forehand follow-through: racket across opposite shoulder","tennis/male-01-groundstrokes.png"
"male","tennis","Tennis — groundstrokes","6","Forehand recovery: return to ready","tennis/male-01-groundstrokes.png"
"male","tennis","Tennis — groundstrokes","7","Two-hand backhand ready: both hands on grip","tennis/male-01-groundstrokes.png"
"male","tennis","Tennis — groundstrokes","8","Backhand unit turn: shoulders to opposite side","tennis/male-01-groundstrokes.png"
"male","tennis","Tennis — groundstrokes","9","Backhand backswing: racket behind left hip","tennis/male-01-groundstrokes.png"
